""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"OR2M2"	-0.125784861771661	3.4074454584136	-0.307930111849936	0.762187258767411	0.868592963207094	-6.28699765093377	"OR2M2"
"P4HB"	0.106722500235522	13.2291612772397	0.307822494802245	0.762267625023468	0.86863462465318	-6.28703160019618	"P4HB"
"DMAP1"	-0.0726495422948385	10.675874533005	-0.307613432721692	0.762423756443968	0.868762613802138	-6.28709751817611	"DMAP1"
"SAMD12"	-0.0679287969406547	5.45914780201102	-0.307470256068427	0.762530689537244	0.868785143483069	-6.28714263674003	"SAMD12"
"COTL1"	0.0935281758535647	13.5014990783952	0.307469625382939	0.762531160582805	0.868785143483069	-6.287142835439	"COTL1"
"POLR2L"	-0.130099672343205	13.1270080385685	-0.30705734429621	0.762839105207365	0.869086059414597	-6.28727263943609	"POLR2L"
"PCP2"	-0.0623694126758702	4.85359609964881	-0.306915750646526	0.762944875097455	0.869156620708551	-6.28731717958361	"PCP2"
"RPN2"	-0.0826663123118438	12.2058995809681	-0.306716209568638	0.763093939735457	0.869193981842836	-6.28737991341185	"RPN2"
"RPTN"	-0.112041767662277	3.92520347339997	-0.306643483762617	0.763148271027937	0.869193981842836	-6.28740276769755	"RPTN"
"CLUAP1"	-0.091417722868262	4.98632921098965	-0.306600720278282	0.763180218956828	0.869193981842836	-6.28741620374153	"CLUAP1"
"TRIM9"	-0.119722029635864	7.07634572708991	-0.306532279271904	0.763231351081686	0.869193981842836	-6.2874377036656	"TRIM9"
"ACER2"	-0.122515446381175	4.47423514210875	-0.306493836063755	0.763260072415209	0.869193981842836	-6.28744977806055	"ACER2"
"VGLL3"	-0.168634579354451	3.81812400362197	-0.306491482461404	0.763261830828419	0.869193981842836	-6.2874505172407	"VGLL3"
"CCIN"	0.127398496193747	5.90038537183398	0.306461103524007	0.763284527529124	0.869193981842836	-6.28746005764717	"CCIN"
"DMGDH"	-0.0557714088592076	4.56197453479407	-0.306340461289659	0.763374663916956	0.869227459993365	-6.28749793572816	"DMGDH"
"CLUH"	0.0776078760596456	10.2713739188177	0.306304405559666	0.763401603203776	0.869227459993365	-6.28750925329805	"CLUH"
